BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Toronto DSB,Valleyfield Jr S,3,en,1,86%,86%,86%,88%,79%,58%,0%,0%,0%
Keewatin-Patricia DSB,Valleyview PS,3,en,1,98%,98%,98%,83%,85%,70%,0%,0%,0%
Thames Valley District School Board,Valleyview Central PS,3,en,1,100%,100%,100%,75%,65%,70%,0%,0%,0%
Durham DSB,Valley Farm,3,en,1,95%,95%,97%,69%,66%,61%,5%,5%,3%
Rainbow District School Board,Valley View PS,3,en,1,100%,100%,100%,92%,88%,67%,0%,0%,0%
York Region DSB,Barbara Reid Public School,3,en,1,97%,97%,97%,84%,69%,78%,3%,3%,3%
Lakehead DSB,Vance Chapman S,3,en,1,88%,88%,88%,73%,53%,67%,12%,12%,12%
Durham DSB,Vaughan Willard PS,3,en,1,91%,91%,91%,76%,90%,66%,9%,9%,9%
York Region DSB,Vellore Woods PS,3,en,1,82%,82%,82%,81%,84%,71%,18%,18%,18%
York Region DSB,Ventura Park P.S.,3,en,1,N/D,N/D,100%,N/D,N/D,70%,N/D,N/D,0%
Keewatin-Patricia DSB,Lillian Berg PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Braeburn Jr S,3,en,1,97%,97%,97%,71%,52%,61%,0%,0%,0%
Peel District School Board,Aloma Crescent PS,3,en,1,100%,100%,100%,71%,54%,54%,0%,0%,0%
Lambton Kent District School Board,Victor Lauriston,3,en,1,100%,100%,100%,57%,30%,43%,0%,0%,0%
Peel District School Board,Brandon Gate PS,3,en,1,84%,84%,84%,77%,71%,61%,14%,14%,14%
DSB of Niagara,Victoria PS,3,en,1,N/R,67%,67%,N/R,80%,90%,N/R,20%,13%
Upper Grand DSB,Brant Avenue PS,3,en,1,97%,94%,97%,62%,71%,72%,3%,3%,3%
Greater Essex County DSB,Queen Victoria PS,3,en,1,68%,68%,68%,56%,59%,52%,32%,32%,32%
Simcoe County DSB,Tay Shores Public School,3,en,1,99%,99%,99%,46%,19%,35%,0%,0%,0%
Toronto DSB,Victoria Park PS,3,en,1,67%,67%,67%,100%,83%,92%,33%,33%,33%
Trillium Lakelands DSB,Queen Victoria PS,3,en,1,100%,100%,100%,65%,43%,65%,0%,0%,0%
Thames Valley District School Board,Victoria PS,3,en,1,85%,85%,85%,61%,48%,48%,11%,11%,11%
Trillium Lakelands DSB,Stuart Baker Elementary,3,en,1,97%,97%,97%,73%,60%,68%,3%,3%,3%
Upper Grand DSB,Victoria Terrace PS,3,en,1,86%,86%,86%,100%,84%,95%,14%,14%,14%
Toronto DSB,Victoria Village PS,3,en,1,91%,91%,91%,55%,41%,34%,9%,9%,9%
Upper Grand DSB,Victory PS,3,en,1,100%,100%,100%,87%,74%,87%,0%,0%,0%
Durham DSB,Village Union PS,3,en,1,94%,94%,94%,52%,38%,39%,6%,6%,6%
Ottawa-Carleton DSB,Vincent Massey PS,3,en,1,100%,100%,100%,64%,66%,60%,0%,0%,0%
Near North DSB,Vincent Massey PS,3,en,1,98%,100%,98%,66%,56%,61%,0%,0%,0%
Durham DSB,Vincent Massey PS,3,en,1,100%,100%,100%,73%,50%,64%,0%,0%,0%
Kawartha Pine Ridge DSB,Vincent Massey PS,3,en,1,100%,100%,100%,86%,78%,65%,0%,0%,0%
Upper Canada DSB,Viscount Alexander PS,3,en,1,96%,96%,96%,56%,44%,46%,4%,4%,4%
Avon Maitland DSB,North Woods Elementary School,3,en,1,100%,100%,100%,67%,62%,48%,0%,0%,0%
