BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Peterborough Victoria Northumberland and Clarington CDSB,St. Elizabeth Catholic Elementary School,3,en,1,97%,96%,97%,67%,50%,69%,3%,3%,3%
Toronto Catholic District School Board,St Edward Sep S,3,en,1,94%,94%,94%,97%,100%,88%,6%,6%,6%
Le Conseil scolaire catholique MonAvenir,ÉÉC Saint-Jean-Bosco,3,fr,1,100%,100%,100%,75%,62%,67%,0%,0%,0%
Catholic DSB of Eastern Ontario,St Edward Sep S,3,en,1,100%,100%,100%,85%,85%,77%,0%,0%,0%
Waterloo Catholic DSB,St Elizabeth Sep S,3,en,1,93%,93%,93%,77%,72%,69%,7%,7%,7%
St. Clair Catholic District School Board,St Elizabeth School,3,en,1,100%,100%,100%,77%,46%,31%,0%,0%,0%
Thunder Bay Catholic DSB,St Elizabeth Sep S,3,en,1,91%,91%,91%,85%,75%,80%,9%,9%,9%
York Catholic DSB,St Elizabeth Seton Sep S,3,en,1,94%,94%,98%,40%,40%,54%,6%,6%,2%
Ottawa Catholic District School Board,St Elizabeth S,3,en,1,89%,92%,89%,64%,56%,42%,5%,5%,5%
Toronto Catholic District School Board,St Elizabeth Seton Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Dufferin-Peel Catholic DSB,St Elizabeth Seton Sep S,3,en,1,100%,100%,100%,89%,86%,69%,0%,0%,0%
Durham Catholic DSB,St Elizabeth Seton Catholic S,3,en,1,97%,99%,99%,75%,75%,74%,3%,1%,1%
Toronto Catholic District School Board,St Elizabeth Sep S,3,en,1,100%,100%,100%,83%,83%,78%,0%,0%,0%
Halton Catholic DSB,St Elizabeth Seton Catholic ES,3,en,1,93%,93%,93%,78%,93%,74%,7%,7%,7%
Niagara Catholic DSB,St. Elizabeth Catholic Elementary School,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Le Conseil scolaire catholique MonAvenir,ÉÉC Ange-Gabriel,3,fr,1,100%,100%,100%,75%,80%,75%,0%,0%,0%
York Catholic DSB,St Emily,3,en,1,94%,94%,94%,88%,82%,82%,6%,6%,6%
Conseil scolaire catholique Nouvelon,É Sép Saint-Étienne,3,fr,1,100%,100%,100%,69%,38%,75%,0%,0%,0%
Toronto Catholic District School Board,St Eugene Sep S,3,en,1,90%,90%,94%,81%,89%,61%,10%,10%,6%
Hamilton-Wentworth Catholic DSB,St Eugene Sep S,3,en,1,98%,98%,100%,76%,71%,61%,2%,2%,0%
Dufferin-Peel Catholic DSB,St Faustina Elementary School,3,en,1,100%,100%,100%,72%,72%,61%,0%,0%,0%
Toronto Catholic District School Board,St Fidelis S,3,en,1,97%,97%,97%,68%,48%,46%,3%,3%,3%
Brant Haldimand Norfolk Catholic DSB,St Frances Cabrini S,3,en,1,97%,97%,97%,77%,87%,77%,3%,3%,3%
Toronto Catholic District School Board,St Florence Sep S,3,en,1,100%,100%,100%,90%,86%,71%,0%,0%,0%
Simcoe Muskoka Catholic DSB,St Francis of Assisi E S,3,en,1,98%,98%,98%,58%,52%,40%,2%,2%,2%
Thunder Bay Catholic DSB,St Francis Sep S,3,en,1,100%,100%,100%,59%,55%,45%,0%,0%,0%
Nipissing-Parry Sound Catholic DSB,St Francis Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
London District Catholic School Board,St Francis S,3,en,1,98%,98%,98%,73%,59%,58%,2%,2%,2%
Huron-Superior Catholic DSB,St Francis Sep S,3,en,1,92%,92%,92%,64%,45%,36%,8%,8%,8%
Sudbury Catholic DSB,St Francis S,3,en,1,96%,96%,96%,61%,59%,51%,4%,4%,4%
Conseil scolaire catholique Providence,École St-Francis,3,fr,1,100%,100%,100%,58%,50%,67%,0%,0%,0%
Toronto Catholic District School Board,St Francis of Assisi Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Durham Catholic DSB,St Francis de Sales Sep S,3,en,1,100%,100%,100%,91%,91%,82%,0%,0%,0%
Catholic DSB of Eastern Ontario,St Francis de Sales Sep S,3,en,1,96%,96%,96%,61%,43%,39%,4%,4%,4%
Toronto Catholic District School Board,St Francis de Sales S,3,en,1,88%,88%,88%,34%,31%,14%,3%,3%,3%
Huron-Superior Catholic DSB,St. Basil Catholic School,3,en,1,85%,87%,89%,49%,32%,29%,13%,13%,11%
Dufferin-Peel Catholic DSB,St Francis of Assisi Sep S,3,en,1,100%,100%,100%,76%,50%,50%,0%,0%,0%
Halton Catholic DSB,St Francis of Assisi Sep S,3,en,1,100%,100%,100%,89%,72%,79%,0%,0%,0%
Wellington Catholic DSB,St Francis of Assisi Catholic S,3,en,1,94%,94%,94%,76%,64%,64%,6%,6%,6%
Hamilton-Wentworth Catholic DSB,St. Francis Xavier Catholic ES,3,en,1,90%,94%,90%,93%,76%,86%,6%,3%,3%
York Catholic DSB,St Francis Xavier Catholic,3,en,1,83%,83%,89%,73%,80%,81%,17%,17%,9%
Catholic DSB of Eastern Ontario,St. Francis Xavier Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto Catholic District School Board,St Francis Xavier Sep S,3,en,1,90%,90%,90%,78%,56%,50%,10%,10%,8%
Dufferin-Peel Catholic DSB,St Francis Xavier Elementary School,3,en,1,98%,98%,98%,71%,68%,71%,2%,2%,2%
Conseil des écoles catholiques du Centre-Est (CECCE),É Élém C Saint-François-d'Assise,3,fr,1,85%,88%,85%,73%,69%,66%,10%,10%,10%
Le C.S.C.D. des Grandes Rivières,É.C. St-François-Xavier,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Brant Haldimand Norfolk Catholic DSB,St. Gabriel Catholic Elementary School,3,en,1,100%,100%,100%,75%,65%,57%,0%,0%,0%
Windsor-Essex Catholic DSB,St Gabriel Sep S,3,en,1,93%,93%,93%,95%,88%,82%,5%,5%,5%
Toronto Catholic District School Board,St Gabriel Sep S,3,en,1,87%,87%,87%,80%,70%,60%,13%,13%,13%
Niagara Catholic DSB,St. Gabriel Lalemant Catholic Elementary School,3,en,1,100%,100%,100%,75%,58%,75%,0%,0%,0%
York Catholic DSB,St Gabriel the Archangel,3,en,1,92%,92%,92%,71%,50%,46%,8%,8%,8%
Toronto Catholic District School Board,St Gabriel Lalemant Catholic  S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Halton Catholic DSB,St. Gabriel Sep S,3,en,1,100%,100%,100%,76%,69%,64%,0%,0%,0%
London District Catholic School Board,St George Sep S,3,en,1,100%,95%,100%,90%,95%,90%,0%,0%,0%
Ottawa Catholic District School Board,St George S,3,en,1,91%,91%,91%,83%,67%,70%,9%,9%,9%
Toronto Catholic District School Board,St Gerald Sep S,3,en,1,89%,89%,93%,62%,62%,42%,0%,0%,0%
Le C.S.C.D. des Grandes Rivières,É.C. St-Gérard,3,fr,1,91%,91%,91%,70%,20%,60%,9%,9%,9%
Dufferin-Peel Catholic DSB,St Gerard Sep S,3,en,1,91%,91%,91%,62%,57%,43%,9%,9%,9%
Halton Catholic DSB,St. Scholastica Elementary School,3,en,1,98%,98%,98%,90%,80%,85%,2%,2%,2%
Le C.S.D.C. de l'Est ontarien,École élém. cath. Saint-Grégoire,3,fr,1,90%,90%,90%,95%,95%,95%,10%,10%,10%
Waterloo Catholic DSB,St Gregory Sep S,3,en,1,100%,100%,100%,53%,35%,35%,0%,0%,0%
York Catholic DSB,St Padre Pio CES,3,en,1,97%,97%,97%,85%,68%,65%,3%,3%,3%
Nipissing-Parry Sound Catholic DSB,St Gregory Sep S,3,en,1,92%,100%,100%,82%,67%,67%,0%,0%,0%
Dufferin-Peel Catholic DSB,St Gregory E S,3,en,1,98%,98%,98%,85%,87%,76%,2%,2%,2%
York Catholic DSB,St Gregory the Great Catholic Academy,3,en,1,100%,100%,100%,71%,61%,46%,0%,0%,0%
Le Conseil scolaire catholique MonAvenir,ÉÉC Le Petit-Prince,3,fr,1,98%,98%,98%,80%,72%,78%,2%,2%,2%
Ottawa Catholic District School Board,St. Veronica School,3,en,1,93%,93%,93%,75%,53%,62%,6%,6%,6%
Toronto Catholic District School Board,St Gregory Sep S,3,en,1,100%,100%,100%,95%,91%,83%,0%,0%,0%
Simcoe Muskoka Catholic DSB,St. Cecilia Catholic School,3,en,1,100%,100%,100%,58%,62%,44%,0%,0%,0%
Ottawa Catholic District School Board,St Gregory Sep S,3,en,1,93%,93%,93%,68%,54%,60%,7%,7%,7%
Algonquin and Lakeshore Catholic DSB,St Gregorys Catholic S,3,en,1,88%,88%,88%,45%,36%,45%,12%,12%,12%
Durham Catholic DSB,St Hedwig Catholic S,3,en,1,100%,100%,100%,70%,26%,35%,0%,0%,0%
Dufferin-Peel Catholic DSB,St Helen Sep S,3,en,1,96%,96%,96%,74%,61%,65%,4%,4%,4%
Toronto Catholic District School Board,St Helen Catholic S,3,en,1,86%,86%,86%,72%,61%,67%,14%,14%,14%
Conseil des écoles catholiques du Centre-Est (CECCE),É Élém C Notre-Place,3,fr,1,96%,97%,97%,84%,71%,67%,3%,3%,3%
Toronto Catholic District School Board,St Henry Sep S,3,en,1,100%,100%,100%,93%,80%,80%,0%,0%,0%
Superior North Catholic DSB,St Hilary Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Dufferin-Peel Catholic DSB,St Hilary E S,3,en,1,96%,96%,96%,67%,54%,42%,4%,4%,4%
Dufferin-Peel Catholic DSB,St. Herbert School,3,en,1,93%,97%,93%,75%,52%,54%,3%,3%,3%
Conseil scolaire catholique Providence,Monseigneur Jean Noël,3,fr,1,100%,100%,97%,81%,75%,80%,0%,0%,3%
Nipissing-Parry Sound Catholic DSB,St Hubert Sep S,3,en,1,100%,100%,100%,76%,53%,53%,0%,0%,0%
Toronto Catholic District School Board,St Ignatius of Loyola Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Le Conseil scolaire catholique MonAvenir,ÉÉC Saint-Jean-de-Lalande,3,fr,1,100%,100%,100%,87%,67%,67%,0%,0%,0%
Durham Catholic DSB,St Isaac Jogues Catholic S,3,en,1,97%,97%,98%,70%,70%,71%,3%,3%,0%
Dufferin-Peel Catholic DSB,St Isaac Jogues Elementary School,3,en,1,97%,100%,100%,69%,62%,46%,0%,0%,0%
Toronto Catholic District School Board,St Isaac Jogues Catholic S,3,en,1,100%,100%,100%,77%,80%,87%,0%,0%,0%
Le C.S.D.C. de l'Est ontarien,École élém. cath. Saint-Isidore,3,fr,1,100%,100%,100%,95%,48%,76%,0%,0%,0%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique De la Rivière Castor,3,fr,1,100%,100%,100%,92%,78%,81%,0%,0%,0%
Le C.S.C.D. des Grandes Rivières,É.C. Pavillon Notre-Dame,3,fr,1,100%,100%,100%,76%,76%,76%,0%,0%,0%
Simcoe Muskoka Catholic DSB,St James Sep S,3,en,1,100%,100%,100%,63%,44%,41%,0%,0%,0%
Durham Catholic DSB,St James Sep S,3,en,1,89%,89%,94%,83%,62%,63%,11%,11%,6%
York Catholic DSB,St James,3,en,1,94%,100%,94%,75%,59%,44%,0%,0%,0%
Renfrew County Catholic DSB,St James Sep S,3,en,1,100%,100%,100%,91%,82%,91%,0%,0%,0%
Halton Catholic DSB,St. Nicholas Sep S,3,en,1,100%,100%,100%,90%,78%,90%,0%,0%,0%
Sudbury Catholic DSB,St James,3,en,1,98%,98%,98%,78%,68%,38%,2%,2%,2%
London District Catholic School Board,St Nicholas Catholic School,3,en,1,98%,98%,98%,88%,73%,83%,2%,2%,2%
Niagara Catholic DSB,St. James Catholic Elementary School,3,en,1,100%,100%,100%,80%,80%,72%,0%,0%,0%
Toronto Catholic District School Board,St James Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Windsor-Essex Catholic DSB,St James Catholic S,3,en,1,75%,75%,75%,72%,67%,63%,25%,25%,25%
Hamilton-Wentworth Catholic DSB,St James the Apostle Sep S,3,en,1,90%,90%,90%,89%,85%,85%,6%,6%,6%
Algonquin and Lakeshore Catholic DSB,St James Major,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto Catholic District School Board,St Jane Frances Catholic S,3,en,1,92%,92%,92%,62%,37%,36%,8%,8%,8%
Le C.S.D.C. de l'Est ontarien,École élém. cath. Saint-Jean-Baptiste,3,fr,1,100%,100%,100%,88%,96%,67%,0%,0%,0%
Dufferin-Peel Catholic DSB,St Julia ES,3,en,1,100%,100%,100%,68%,68%,59%,0%,0%,0%
Toronto DSB,Cameron PS,3,en,1,91%,91%,91%,81%,74%,87%,9%,9%,9%
Toronto Catholic District School Board,St Jean de Brebeuf Catholic S,3,en,1,100%,100%,100%,94%,65%,65%,0%,0%,0%
Dufferin-Peel Catholic DSB,St Jean Brebeuf Sep S,3,en,1,93%,93%,93%,29%,0%,7%,7%,7%,7%
Le Conseil scolaire catholique MonAvenir,ÉÉC Saint-Jean-Baptiste,3,fr,1,96%,96%,96%,89%,74%,81%,4%,4%,4%
Toronto Catholic District School Board,St Jerome Sep S,3,en,1,93%,93%,94%,72%,60%,63%,5%,5%,4%
Northeastern Catholic DSB,St Jerome S,3,en,1,96%,96%,96%,53%,22%,29%,4%,4%,4%
Dufferin-Peel Catholic DSB,St Jerome Sep S,3,en,1,100%,100%,100%,76%,88%,82%,0%,0%,0%
Toronto Catholic District School Board,St Joachim Sep S,3,en,1,91%,91%,91%,78%,62%,66%,9%,9%,9%
Dufferin-Peel Catholic DSB,St Joachim Sep S,3,en,1,93%,93%,93%,62%,57%,45%,4%,4%,4%
Halton Catholic DSB,St Joan of Arc Catholic ES,3,en,1,100%,100%,100%,91%,76%,73%,0%,0%,0%
Wellington Catholic DSB,St John Catholic School,3,en,1,92%,92%,92%,61%,57%,61%,8%,8%,8%
Wellington Catholic DSB,St John Sep S,3,en,1,98%,98%,98%,83%,68%,60%,2%,2%,2%
Dufferin-Peel Catholic DSB,St John of the Cross,3,en,1,96%,96%,96%,79%,83%,75%,4%,4%,4%
Waterloo Catholic DSB,St. John Catholic Sep S,3,en,1,91%,91%,94%,44%,34%,39%,9%,9%,6%
Toronto Catholic District School Board,St John Sep S,3,en,1,100%,100%,100%,82%,69%,67%,0%,0%,0%
Toronto Catholic District School Board,St John the Evangelist Sep S,3,en,1,100%,100%,100%,64%,56%,53%,0%,0%,0%
Le Conseil scolaire catholique MonAvenir,ÉÉC Saint-Jean,3,fr,1,100%,100%,100%,96%,83%,100%,0%,0%,0%
Simcoe County DSB,Cameron Street PS,3,en,1,96%,96%,98%,88%,77%,81%,4%,4%,2%
Catholic DSB of Eastern Ontario,St John E S,3,en,1,100%,100%,100%,70%,48%,41%,0%,0%,0%
Windsor-Essex Catholic DSB,St John the Baptist Sep S,3,en,1,100%,100%,100%,65%,56%,81%,0%,0%,0%
Renfrew County Catholic DSB,St John Bosco Sep S,3,en,1,100%,100%,100%,85%,63%,78%,0%,0%,0%
Catholic DSB of Eastern Ontario,St John Bosco Catholic S,3,en,1,100%,100%,100%,94%,76%,79%,0%,0%,0%
Durham Catholic DSB,St John Bosco Catholic Elementary School,3,en,1,97%,97%,97%,76%,63%,66%,3%,3%,3%
Wellington Catholic DSB,St John Brebeuf Sep S,3,en,1,100%,100%,100%,76%,62%,48%,0%,0%,0%
Windsor-Essex Catholic DSB,St John de Brebeuf Sep S,3,en,1,95%,95%,95%,90%,82%,88%,5%,5%,5%
St. Clair Catholic District School Board,St John Fisher Sep S,3,en,1,98%,98%,98%,91%,83%,85%,2%,2%,2%
Toronto Catholic District School Board,The Holy Trinity Catholic School,3,en,1,100%,100%,100%,89%,87%,77%,0%,0%,0%
Dufferin-Peel Catholic DSB,St John Fisher Catholic S,3,en,1,95%,95%,95%,72%,62%,46%,2%,2%,2%
Niagara Catholic DSB,St. John Catholic Elementary School,3,en,1,100%,100%,100%,90%,76%,91%,0%,0%,0%
Windsor-Essex Catholic DSB,St John the Evangelist,3,en,1,92%,92%,92%,92%,75%,75%,8%,8%,8%
Ottawa Catholic District School Board,St John the Apostle S,3,en,1,97%,97%,97%,83%,70%,67%,3%,3%,3%
Conseil scolaire catholique Providence,École Sép Saint-Jean Baptiste,3,fr,1,100%,100%,100%,100%,100%,95%,0%,0%,0%
Sudbury Catholic DSB,St John Sep S,3,en,1,100%,100%,100%,71%,47%,38%,0%,0%,0%
Halton Catholic DSB,St Cecilia,3,en,1,100%,100%,100%,74%,67%,72%,0%,0%,0%
Halton Catholic DSB,St Johns Sep S,3,en,1,100%,100%,100%,85%,73%,85%,0%,0%,0%
Hamilton-Wentworth Catholic DSB,St John the Baptist,3,en,1,98%,98%,98%,73%,59%,66%,2%,2%,2%
Peterborough Victoria Northumberland and Clarington CDSB,St. John Catholic Elementary School Peterborough,3,en,1,100%,100%,100%,78%,61%,74%,0%,0%,0%
Kenora Catholic DSB,St. John School,3,en,1,100%,100%,100%,67%,58%,42%,0%,0%,0%
Le C.S.D.C. des Aurores boréales,École catholique des Étoiles-du-Nord,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Durham Catholic DSB,St John the Evangelist Catholic,3,en,1,85%,85%,94%,55%,45%,63%,8%,8%,3%
Simcoe Muskoka Catholic DSB,St John Vianney Catholic School,3,en,1,100%,100%,100%,72%,62%,62%,0%,0%,0%
Toronto Catholic District School Board,St John Vianney,3,en,1,100%,100%,100%,72%,68%,60%,0%,0%,0%
Toronto Catholic District School Board,St Josaphat Catholic S,3,en,1,93%,100%,100%,8%,21%,43%,0%,0%,0%
Catholic DSB of Eastern Ontario,St Finnan's Catholic S,3,en,1,85%,85%,85%,91%,82%,82%,15%,15%,15%
London District Catholic School Board,St John French Immersion Catholic S,3,en,1,100%,100%,100%,90%,92%,82%,0%,0%,0%
Windsor-Essex Catholic DSB,St Joseph Catholic S,3,en,1,99%,99%,99%,84%,75%,78%,1%,1%,1%
Renfrew County Catholic DSB,St Joseph Sep S,3,en,1,100%,100%,100%,92%,80%,78%,0%,0%,0%
York Catholic DSB,St Joseph Aurora S,3,en,1,N/D,N/D,100%,N/D,N/D,91%,N/D,N/D,0%
Renfrew County Catholic DSB,St Joseph's Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Kenora Catholic DSB,St. John Paul II School,3,en,1,100%,100%,100%,68%,52%,45%,0%,0%,0%
Conseil scolaire catholique Nouvelon,É Sép Saint-Joseph,3,fr,1,100%,100%,100%,79%,68%,58%,0%,0%,0%
Dufferin-Peel Catholic DSB,St. Joseph Brampton,3,en,1,100%,100%,100%,53%,60%,47%,0%,0%,0%
Durham Catholic DSB,St. John Paul II Catholic School,3,en,1,100%,100%,100%,79%,88%,73%,0%,0%,0%
Peel District School Board,Chris Hadfield Public School,3,en,1,100%,100%,100%,77%,75%,58%,0%,0%,0%
Dufferin-Peel Catholic DSB,St. Daniel Comboni Catholic Elementary School,3,en,1,95%,93%,95%,70%,59%,47%,5%,5%,5%
Le C.S.C.D. des Grandes Rivières,É.C. Nouveau Regard - Pavillon St-Joseph,3,fr,1,100%,100%,100%,55%,23%,58%,0%,0%,0%
Simcoe Muskoka Catholic DSB,Saint Gabriel the Archangel Catholic School,3,en,1,94%,94%,92%,64%,48%,55%,6%,6%,8%
Wellington Catholic DSB,St Joseph Sep S,3,en,1,97%,97%,97%,82%,68%,75%,3%,3%,3%
Le C.S.D.C. des Aurores boréales,École Séparée Saint-Joseph,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Superior North Catholic DSB,St Joseph Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Niagara Catholic DSB,St. Joseph Catholic Elementary School,3,en,1,100%,100%,93%,79%,79%,62%,0%,0%,7%
Wellington Catholic DSB,St Joseph Sep S,3,en,1,62%,62%,66%,75%,70%,76%,38%,38%,34%
Niagara Catholic DSB,St. Joseph Catholic Elementary School,3,en,1,100%,100%,100%,58%,83%,67%,0%,0%,0%
Halton Catholic DSB,St Joseph's S,3,en,1,100%,100%,100%,67%,61%,64%,0%,0%,0%
Simcoe Muskoka Catholic DSB,St Jean de Brebeuf Sep S,3,en,1,92%,92%,92%,73%,68%,54%,5%,5%,5%
St. Clair Catholic District School Board,St Joseph's,3,en,1,100%,100%,97%,56%,44%,42%,0%,0%,0%
York Catholic DSB,St Joseph  Markham,3,en,1,97%,97%,97%,91%,88%,84%,3%,3%,3%
Conseil scolaire catholique Nouvelon,École Saint-Joseph,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
York Catholic DSB,St Joseph Richmond Hill S,3,en,1,100%,100%,100%,70%,60%,60%,0%,0%,0%
Peterborough Victoria Northumberland and Clarington CDSB,St. Joseph Catholic French Immersion Centre Bowmanville,3,en,1,98%,98%,98%,80%,84%,77%,0%,0%,0%
Nipissing-Parry Sound Catholic DSB,St Luke Catholic S,3,en,1,100%,100%,100%,79%,77%,85%,0%,0%,0%
Halton Catholic DSB,Queen of Heaven Elementary School,3,en,1,97%,97%,97%,72%,61%,66%,3%,3%,1%
Le Conseil scolaire catholique MonAvenir,ÉÉC Saint-Joseph,3,fr,1,91%,91%,91%,90%,90%,90%,9%,9%,9%
Brant Haldimand Norfolk Catholic DSB,St Josephs S,3,en,1,100%,100%,100%,80%,67%,67%,0%,0%,0%
Dufferin-Peel Catholic DSB,St Joseph Sep S,3,en,1,97%,97%,97%,71%,74%,58%,0%,0%,0%
Conseil scolaire catholique Nouvelon,É Sép Saint-Joseph,3,fr,1,100%,100%,100%,100%,90%,90%,0%,0%,0%
St. Clair Catholic District School Board,St Joseph Sep S,3,en,1,100%,100%,100%,71%,57%,93%,0%,0%,0%
Toronto Catholic District School Board,St Joseph Sep S,3,en,1,100%,100%,100%,50%,50%,61%,0%,0%,0%
Conseil scolaire catholique Nouvelon,É Sép Saint-Joseph,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Durham Catholic DSB,St Joseph Catholic S,3,en,1,94%,94%,96%,60%,33%,56%,0%,0%,0%
Dufferin-Peel Catholic DSB,St. André Bessette Catholic,3,en,1,98%,98%,98%,79%,84%,65%,2%,2%,2%
Huron-Perth Catholic DSB,St Joseph Sep S,3,en,1,100%,100%,100%,60%,40%,50%,0%,0%,0%
Le C.S.D.C. de l'Est ontarien,École élém. cath. Saint-Joseph (Wendover),3,fr,1,97%,97%,97%,72%,52%,66%,0%,0%,0%
Northwest Catholic DSB,St Josephs Sep S,3,en,1,100%,100%,100%,92%,73%,65%,0%,0%,0%
Catholic DSB of Eastern Ontario,St Joseph's Sep S,3,en,1,97%,97%,97%,85%,76%,76%,0%,0%,0%
Hamilton-Wentworth Catholic DSB,St. Joseph Catholic ES,3,en,1,98%,98%,98%,76%,64%,62%,2%,2%,2%
York Catholic DSB,St. Raphael the Archangel Catholic Elementary School,3,en,1,100%,100%,100%,73%,67%,60%,0%,0%,0%
Ottawa Catholic District School Board,St. Isabel Catholic Elementary School,3,en,1,94%,94%,94%,94%,94%,94%,6%,6%,6%
Durham Catholic DSB,St Joseph Catholic S,3,en,1,98%,98%,98%,62%,68%,49%,2%,2%,2%
Catholic DSB of Eastern Ontario,St. Mark Sep S,3,en,1,92%,92%,92%,69%,67%,69%,8%,8%,8%
Waterloo Catholic DSB,St Joseph  S,3,en,1,100%,100%,100%,86%,76%,76%,0%,0%,0%
Algonquin and Lakeshore Catholic DSB,St Joseph Catholic S,3,en,1,100%,100%,100%,69%,53%,50%,0%,0%,0%
York Catholic DSB,St Joseph The Worker CS,3,en,1,96%,96%,96%,81%,67%,61%,4%,4%,2%
Northeastern Catholic DSB,Aileen-Wright English Catholic,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
London District Catholic School Board,St Joseph's S,3,en,1,97%,97%,97%,78%,63%,68%,3%,3%,3%
Northeastern Catholic DSB,St Joseph Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Le Conseil scolaire catholique MonAvenir,ÉÉC Saint-François-d'Assise,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Thunder Bay Catholic DSB,St Jude Sep S,3,en,1,75%,75%,75%,67%,60%,67%,25%,25%,25%
Le C.S.C.D. des Grandes Rivières,É.C. St-Jude,3,fr,1,100%,100%,100%,41%,47%,65%,0%,0%,0%
London District Catholic School Board,St Jude's S,3,en,1,96%,98%,96%,77%,57%,60%,2%,2%,2%
London District Catholic School Board,St Jude Catholic S,3,en,1,97%,97%,97%,73%,68%,54%,3%,3%,3%
Toronto Catholic District School Board,St Jude Sep S,3,en,1,96%,94%,96%,60%,47%,42%,4%,4%,4%
Dufferin-Peel Catholic DSB,St Jude Sep S,3,en,1,86%,86%,86%,58%,58%,53%,14%,14%,14%
York Catholic DSB,St Justin Martyr,3,en,1,100%,100%,100%,98%,98%,98%,0%,0%,0%
Toronto Catholic District School Board,St Kevin Catholic S,3,en,1,91%,91%,91%,65%,50%,50%,9%,9%,9%
Niagara Catholic DSB,St Kevin S,3,en,1,85%,85%,85%,91%,88%,88%,15%,15%,15%
Dufferin-Peel Catholic DSB,St Kevin Sep S,3,en,1,94%,94%,94%,65%,59%,53%,6%,6%,6%
Toronto Catholic District School Board,St Lawrence Sep S,3,en,1,95%,95%,90%,55%,45%,21%,0%,0%,0%
Huron-Superior Catholic DSB,Holy Cross Catholic School,3,en,1,100%,100%,100%,38%,30%,22%,0%,0%,0%
Hamilton-Wentworth Catholic DSB,St. Lawrence Catholic ES,3,en,1,88%,88%,88%,61%,61%,65%,12%,12%,12%
Toronto Catholic District School Board,St Leo Sep S,3,en,1,93%,93%,97%,85%,77%,74%,7%,7%,3%
Brant Haldimand Norfolk Catholic DSB,St Leo Sep S,3,en,1,98%,98%,100%,88%,79%,65%,2%,2%,0%
Dufferin-Peel Catholic DSB,St Leonard Sep S,3,en,1,94%,94%,94%,82%,71%,59%,0%,0%,0%
Durham Catholic DSB,St Leo Catholic S,3,en,1,N/D,N/D,96%,N/D,N/D,48%,N/D,N/D,0%
Le Conseil scolaire catholique MonAvenir,ÉÉC Saint-Louis,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Hamilton-Wentworth Catholic DSB,Immaculate Conception Catholic Elementary,3,en,1,96%,96%,96%,85%,79%,87%,4%,4%,4%
Dufferin-Peel Catholic DSB,Holy Spirit Catholic Elementary School,3,en,1,100%,100%,100%,83%,61%,44%,0%,0%,0%
Toronto Catholic District School Board,St Louis Catholic S,3,en,1,90%,90%,94%,79%,74%,81%,10%,10%,6%
Kenora Catholic DSB,St Louis Sep S,3,en,1,94%,94%,94%,87%,93%,80%,6%,6%,6%
Dufferin-Peel Catholic DSB,St. Luke Elementary School,3,en,1,100%,100%,100%,78%,62%,65%,0%,0%,0%
Windsor-Essex Catholic DSB,St Louis Sep S,3,en,1,93%,93%,93%,59%,51%,59%,7%,7%,7%
Dufferin-Peel Catholic DSB,St Louis Sep S,3,en,1,100%,100%,100%,81%,71%,57%,0%,0%,0%
Waterloo Catholic DSB,St Luke Catholic Elementary School,3,en,1,94%,94%,94%,82%,68%,82%,6%,6%,6%
